verb	label	sentence	start_char	end_char
remember	STATIVE	the place I barely remember ever having lived in anymore.)	19	26
have	STATIVE	If you do have something better to do, though, by all means do it .	10	13
know	STATIVE	I should know.	9	13
need	STATIVE	You need to try to have a life outside your computer.	4	7
explaining	DYNAMIC	The one that really stuck in my mind was explaining transitions in the panels of Watchmen .	41	50
liked	STATIVE	"I also liked ""Teaching the Overdetermined Image."""	7	11
seems	STATIVE	Also, The Day in Actual Communist and Real Nazi History seems as relevant today as ever.	56	60
appeared	DYNAMIC	What happened to your post that appeared in my RSS reader yesterday?	32	39
feel	STATIVE	I feel your British readers would appreciate that.	2	5
reminds	DYNAMIC	The Internet occasionally reminds me of how different life is because of it.	26	32
watching	STATIVE	In this case, the something in question was watching the wonderfully named Angel Pagan hit an inside-the-park home run and initiate a triple play in the same game.	44	51
is	STATIVE	The fact that at some point in the future I can know who I rode in an elevator with on 28 December 2005 is less weird because I chose to write about riding in an elevator with Grimace .	104	105
is	STATIVE	That I can access detailed information about events I have no right remembering in detail is another matter entirely.	90	91
forgotten	DYNAMIC	I'd completely forgotten about him.	15	23
is	STATIVE	What's really bothersome, though, is when you only remember things from your distant past.	34	35
was	STATIVE	A guess, but perhaps your grandfather's life at 22 was more interesting than the ensuing 70 yrs.	51	53
burned	STATIVE	But burned out toward the end.	4	9
is	STATIVE	Apparently, he is a player's representative now.	15	16
given	DYNAMIC	Having given up on watching the actual sport, mention of baseball now only sparks memories of The Old Man and the Sea and the old time baseball writers.	7	11
is	STATIVE	nota bene: An overdue library book is a crime against Humanities.	35	36
become	DYNAMIC	Now, many more moderate Muslims have become radicalized, world-wide, willing to kill innocent civilians in order to achieve their purposes.	37	42
expanded	DYNAMIC	And the serious targets have expanded to include civilians in Russia, India, Maylasia, the Philippines, Spain, and elsewhere, as well as Israel and its sole supporter, the United States.	29	36
reported	DYNAMIC	The terrorists could strike any time they choose, through any of the numerous loopholes so well reported in our media.	96	103
keep	STATIVE	So the Bush administration can keep claiming that we are safer now, under their policies.	31	34
made	DYNAMIC	"By trying to ""stamp out"" terrorism by killing terrorists, Bush and Israel have made things infinitely worse for us: more dangerous, not safer."	79	82
come	DYNAMIC	And proof that Bush has failed may come at any moment, explosively, with one big successful attack here in the USA.	35	38
is	STATIVE	"TERRORISM is ""the systematic use of violence to create a general climate of fear in a population and thereby to bring about a particular political objective."""	10	11
is	STATIVE	We believe that any terrorist act is a crime against humanity and against the will of God, because it deliberately intends to injure and kill innocent people.	34	35
is	STATIVE	Our purpose here is to NEUTRALIZE TERRORISM by removing the motivation for it.	17	18
end	DYNAMIC	So you end up fighting the entire population.	7	9
end	DYNAMIC	In all of these cases above, if the radical Muslims would cease their attacks, all terrorism on both sides of every dispute would quickly end.	138	141
are	STATIVE	The moral and religious theories which support terrorism are quite faulty and erroneous.	57	59
need	STATIVE	They need to be identified and attacked.	5	8
is	STATIVE	If the terrorist loses faith in the righteousness of his acts, he is less likely to perform them.	66	67
find	DYNAMIC	In every case of terrorism, we will find some kind of legitimate underlying grievance.	36	39
recognizing	STATIVE	It is simply recognizing the realities of human motivation, right or wrong.	13	23
found	DYNAMIC	A big picture of our entire Anti-Terrorism strategy can be found at our website =>	59	63
returned	DYNAMIC	I recently returned to the US from Australia.	11	18
took	DYNAMIC	The 14-hour flight took me from Monday morning in Sydney to Monday morning, again, in L.A.	19	22
messed	DYNAMIC	Crossing the date line messed up my sense of time enough without the added bonus of thinking I should be heading to bed just as the sun began to climb into the California sky.	23	28
be	STATIVE	You may be familiar with the concept: Jet lag.	8	9
work	DYNAMIC	Normally, two systems -- the homeostatic system and the circadian system -- work together to produce a 24-hour sleep cycle.	76	79
spent	DYNAMIC	During the day, the homeostatic system slowly accumulates a 'sleep drive,' a desire to sleep that increases as a function of time spent awake.	130	134
keeps	STATIVE	The circadian system generates an alerting signal in opposition to this sleep drive, which, during the day, keeps a person from feeling increasingly sleepy.	108	112
hit	STATIVE	An hour or two before bedtime, this signal subsides, and s/he realizes it's time to hit the pillow.	84	86
feeling	STATIVE	The sleep drive dissipates as a person sleeps and by morning (assuming a full night's rest and possibly some coffee), s/he will be feeling alert and ready to go again.	131	137
is	STATIVE	Robert Sack wrote a delightful paper [PDF] on jet lag, by the way, which is where I'm getting much of my information.	73	74
got	STATIVE	So we've got a nice cycle of sleep.	9	11
is	STATIVE	Jet lag is what happens when the homeostatic and circadian processes are misaligned.	8	9
want	STATIVE	But I don't want to be sleepy!	12	15
lists	STATIVE	Robert Sack lists three primary approaches:	12	16
shown	DYNAMIC	Studies have shown that without light cues, totally blind people tend to have free-running circadian rhythms with an average period of 24.5 hours, instead of the usual 24.	13	17
has	STATIVE	Brighter light has more of an effect (such as the sun, at 3000 to 10,000 lux), though lower intensities (e.g., 100-550 lux) can produce changes.	15	17
thought	STATIVE	"Melatonin is secreted by the pineal gland at night; secretion is suppressed by light exposure, and as such, the hormone can be thought of as a ""darkness signal."""	127	133
administered	DYNAMIC	If doses of melatonin are combined with light exposure, the results are what you might expect: synergistic if both are administered to produce a time shift in the same direction (both earlier or both later); antagonistic otherwise.	119	130
is	STATIVE	The problem with this is that your sleep-wake schedule won't match up with that of the people around you, and if you need to be awake for breakfast at 7am or for a meeting in the afternoon, your sleep schedule may interfere.	22	23
have	STATIVE	Lastly, we have sleep medicines.	11	14
is	STATIVE	Of course, the only solution that will always work is time.	51	52
are	STATIVE	The Fuller, Lu, & Saper paper [PDF], published in Science , discusses the mechanism, though a more recent paper argues that the Fuller et al results are inconclusive .	149	151
makes	DYNAMIC	The gentle wind makes them flutter.	16	20
spent	DYNAMIC	I spent the past weekend there.	2	6
like	STATIVE	I like learning new things, so I signed up.	2	5
say	DYNAMIC	"He began by telling us, ""Do not take any of what I say on faith."	51	53
is	STATIVE	"Take it through analysis, if there is some benefit in it for you."""	35	36
have	STATIVE	You believe the other medicine may have just as much value, but in other situations, not this one.	35	38
