Epochs,Train Batch Size,Test Batch Size,Learning Rate,Momentum,Hidden Layer,Token Position,Accuracy,Macro F1,Micro F1
16,16,16,0.01,0,0,0,0.5458422174840085,0.5000075076202346,0.5458422174840085
16,16,16,0.01,0,0,1,0.5031982942430704,0.5022932123646732,0.5031982942430704
16,16,16,0.01,0,0,2,0.5362473347547975,0.4998621044696538,0.5362473347547975
16,16,16,0.01,0,0,3,0.5287846481876333,0.4494866606117582,0.5287846481876333
16,16,16,0.01,0,0,4,0.5255863539445629,0.4816810813160068,0.5255863539445629
16,16,16,0.01,0,0,5,0.5389541088580576,0.5074422000486737,0.5389541088580576
16,16,16,0.01,0,0,6,0.5203862660944206,0.5142205156489221,0.5203862660944206
16,16,16,0.01,0,0,7,0.5140388768898488,0.505165657285358,0.5140388768898488
16,16,16,0.01,0,0,8,0.533695652173913,0.5093333333333334,0.533695652173913
16,16,16,0.01,0,0,9,0.530454042081949,0.4944436228424144,0.530454042081949
16,16,16,0.01,0,0,10,0.5112866817155757,0.5023085355491124,0.5112866817155757
16,16,16,0.01,0,0,11,0.5057471264367817,0.5041092258748674,0.5057471264367817
16,16,16,0.01,0,0,12,0.4783625730994152,0.478344733242134,0.4783625730994152
16,16,16,0.01,0,0,13,0.5146666666666667,0.483584415977482,0.5146666666666667
16,16,16,0.01,0,0,14,0.5194610778443114,0.5194083039166246,0.5194610778443114
16,16,16,0.01,0,0,15,0.5253378378378378,0.5053508294603378,0.5253378378378378
16,16,16,0.01,0,0,16,0.5257936507936508,0.5172626609545259,0.5257936507936508
16,16,16,0.01,0,0,17,0.5119617224880383,0.5119505494505494,0.5119617224880383
16,16,16,0.01,0,0,18,0.5423728813559322,0.4991441048034934,0.5423728813559322
16,16,16,0.01,0,0,19,0.4657980456026058,0.4506372206703911,0.4657980456026058
16,16,16,0.01,0,0,20,0.4806201550387597,0.4529746835443038,0.4806201550387597
16,16,16,0.01,0,1,0,0.523454157782516,0.3866456015623286,0.523454157782516
16,16,16,0.01,0,1,1,0.4872068230277185,0.4855644301538707,0.4872068230277185
16,16,16,0.01,0,1,2,0.5277185501066098,0.5168001414014324,0.5277185501066098
16,16,16,0.01,0,1,3,0.5298507462686567,0.5016859109882366,0.5298507462686567
16,16,16,0.01,0,1,4,0.5255863539445629,0.4652833200319233,0.5255863539445629
16,16,16,0.01,0,1,5,0.5154749199573105,0.5143547989369184,0.5154749199573105
16,16,16,0.01,0,1,6,0.4881974248927038,0.4858481128311291,0.4881974248927038
16,16,16,0.01,0,1,7,0.4924406047516199,0.4922037252239008,0.4924406047516199
16,16,16,0.01,0,1,8,0.5673913043478261,0.5166817142645949,0.5673913043478261
16,16,16,0.01,0,1,9,0.5647840531561462,0.5441766371886019,0.5647840531561462
16,16,16,0.01,0,1,10,0.5124153498871332,0.4702365134201435,0.5124153498871332
16,16,16,0.01,0,1,11,0.5183908045977011,0.5068661045357821,0.5183908045977011
16,16,16,0.01,0,1,12,0.5321637426900585,0.4035743683468895,0.5321637426900585
16,16,16,0.01,0,1,13,0.508,0.4639484770713282,0.508
16,16,16,0.01,0,1,14,0.5134730538922155,0.419306002466144,0.5134730538922155
16,16,16,0.01,0,1,15,0.5135135135135135,0.4355633243286191,0.5135135135135135
16,16,16,0.01,0,1,16,0.5138888888888888,0.5051437319408321,0.5138888888888888
16,16,16,0.01,0,1,17,0.4665071770334928,0.4290981472975042,0.4665071770334928
16,16,16,0.01,0,1,18,0.4971751412429379,0.4924935567010309,0.4971751412429379
16,16,16,0.01,0,1,19,0.5146579804560261,0.5024960574256349,0.5146579804560261
16,16,16,0.01,0,1,20,0.5348837209302325,0.4797338173018753,0.5348837209302325
16,16,16,0.01,0,2,0,0.5287846481876333,0.4327192521563991,0.5287846481876333
16,16,16,0.01,0,2,1,0.509594882729211,0.4881491850340459,0.509594882729211
16,16,16,0.01,0,2,2,0.5202558635394456,0.4248691955526488,0.5202558635394456
16,16,16,0.01,0,2,3,0.4584221748400853,0.3948602284907318,0.4584221748400853
16,16,16,0.01,0,2,4,0.4392324093816631,0.3917800788954635,0.4392324093816631
16,16,16,0.01,0,2,5,0.5570971184631803,0.5564423679068478,0.5570971184631803
16,16,16,0.01,0,2,6,0.4967811158798283,0.4859965733732048,0.4967811158798283
16,16,16,0.01,0,2,7,0.541036717062635,0.4774592476634707,0.541036717062635
16,16,16,0.01,0,2,8,0.5434782608695652,0.4741741104234368,0.5434782608695652
16,16,16,0.01,0,2,9,0.5459579180509413,0.479341283681161,0.5459579180509413
16,16,16,0.01,0,2,10,0.5304740406320542,0.3875562468013266,0.5304740406320542
16,16,16,0.01,0,2,11,0.4873563218390804,0.4694106385888145,0.4873563218390804
16,16,16,0.01,0,2,12,0.4982456140350877,0.4755133761641316,0.4982456140350877
16,16,16,0.01,0,2,13,0.4733333333333333,0.4308083961765694,0.4733333333333333
16,16,16,0.01,0,2,14,0.4880239520958084,0.4820061672410665,0.4880239520958084
16,16,16,0.01,0,2,15,0.4847972972972973,0.4827768945416004,0.4847972972972973
16,16,16,0.01,0,2,16,0.5198412698412699,0.3849939491730536,0.5198412698412699
16,16,16,0.01,0,2,17,0.5502392344497608,0.4361888362749319,0.5502392344497608
16,16,16,0.01,0,2,18,0.4350282485875706,0.364406779661017,0.4350282485875706
16,16,16,0.01,0,2,19,0.4853420195439739,0.4682758923090415,0.4853420195439739
16,16,16,0.01,0,2,20,0.5116279069767442,0.4031286721504113,0.5116279069767442
16,16,16,0.01,0,3,0,0.5309168443496801,0.4725623003194888,0.5309168443496801
16,16,16,0.01,0,3,1,0.5490405117270789,0.4866524779568258,0.5490405117270789
16,16,16,0.01,0,3,2,0.509594882729211,0.5094521525987167,0.509594882729211
16,16,16,0.01,0,3,3,0.5405117270788913,0.3728419422945957,0.5405117270788913
16,16,16,0.01,0,3,4,0.5223880597014925,0.4806201550387596,0.5223880597014925
16,16,16,0.01,0,3,5,0.5389541088580576,0.4818751536003932,0.5389541088580576
16,16,16,0.01,0,3,6,0.5300429184549357,0.5300342617152962,0.5300429184549357
16,16,16,0.01,0,3,7,0.519438444924406,0.4909668134623818,0.519438444924406
16,16,16,0.01,0,3,8,0.5413043478260869,0.3793125499600319,0.5413043478260869
16,16,16,0.01,0,3,9,0.4983388704318937,0.496917372295091,0.4983388704318937
16,16,16,0.01,0,3,10,0.54627539503386,0.4657366573665736,0.54627539503386
16,16,16,0.01,0,3,11,0.5379310344827586,0.472698653929657,0.5379310344827586
16,16,16,0.01,0,3,12,0.471345029239766,0.3754686489980607,0.471345029239766
16,16,16,0.01,0,3,13,0.4866666666666667,0.4637634059148521,0.4866666666666667
16,16,16,0.01,0,3,14,0.4805389221556886,0.4698158047022066,0.4805389221556886
16,16,16,0.01,0,3,15,0.4712837837837837,0.4126816589803325,0.4712837837837837
16,16,16,0.01,0,3,16,0.5357142857142857,0.3742784380305602,0.5357142857142857
16,16,16,0.01,0,3,17,0.5239234449760766,0.5224776830563449,0.5239234449760766
16,16,16,0.01,0,3,18,0.4604519774011299,0.4222753877045328,0.4604519774011299
16,16,16,0.01,0,3,19,0.5504885993485342,0.4541026698278528,0.5504885993485342
16,16,16,0.01,0,3,20,0.5271317829457365,0.5248188405797102,0.5271317829457365
