Index,Epochs,Batch Size,Learning Rate,Momentum,Hidden Layer Index,Accuracy,Macro F1,Micro F1
0,32,16,0.01,0,0,0.5383795309168443,0.5137761081641473,0.5383795309168443
1,32,16,0.01,0,0,0.502132196162047,0.4815256694777334,0.502132196162047
2,32,16,0.01,0,0,0.5383795309168443,0.5039855404324436,0.5383795309168443
3,32,16,0.01,0,0,0.511727078891258,0.5095844748858448,0.511727078891258
4,32,16,0.01,0,0,0.5255863539445629,0.5255858147419483,0.5255863539445629
5,32,16,0.01,0,0,0.4791889007470651,0.47905539656209556,0.4791889007470651
6,32,16,0.01,0,0,0.5375536480686696,0.5168341602766502,0.5375536480686696
7,32,16,0.01,0,0,0.5161987041036717,0.5155455904334828,0.5161987041036717
8,32,16,0.01,0,0,0.5260869565217391,0.49951089017987266,0.5260869565217391
9,32,16,0.01,0,0,0.5116279069767442,0.4848164166148106,0.5116279069767442
10,32,16,0.01,0,0,0.5406320541760722,0.5228585983552871,0.5406320541760722
11,32,16,0.01,0,0,0.5114942528735632,0.48783193961749804,0.5114942528735632
12,32,16,0.01,0,0,0.4818713450292398,0.4359326809523313,0.4818713450292398
13,32,16,0.01,0,0,0.5093333333333333,0.503968253968254,0.5093333333333333
14,32,16,0.01,0,0,0.5389221556886228,0.527468489324955,0.5389221556886228
15,32,16,0.01,0,0,0.5118243243243243,0.5117114700199497,0.5118243243243243
16,32,16,0.01,0,0,0.5535714285714286,0.5348932592334352,0.5535714285714286
17,32,16,0.01,0,0,0.5239234449760766,0.5161446063461594,0.5239234449760766
18,32,16,0.01,0,0,0.5451977401129944,0.5447581772435002,0.5451977401129944
19,32,16,0.01,0,0,0.495114006514658,0.48020099404664374,0.495114006514658
20,32,16,0.01,0,0,0.4844961240310077,0.473671293810875,0.4844961240310077
0,32,16,0.01,0,1,0.4520255863539446,0.363391008577344,0.4520255863539446
1,32,16,0.01,0,1,0.5490405117270789,0.47754054000671553,0.5490405117270789
2,32,16,0.01,0,1,0.48933901918976547,0.4785374974321597,0.48933901918976547
3,32,16,0.01,0,1,0.48933901918976547,0.4815461004201385,0.48933901918976547
4,32,16,0.01,0,1,0.4968017057569296,0.4938193126472001,0.4968017057569296
5,32,16,0.01,0,1,0.5026680896478122,0.5006884028139894,0.5026680896478122
6,32,16,0.01,0,1,0.5150214592274678,0.5079151481169984,0.5150214592274678
7,32,16,0.01,0,1,0.5356371490280778,0.467140937729173,0.5356371490280778
8,32,16,0.01,0,1,0.5065217391304347,0.4922959483835835,0.5065217391304347
9,32,16,0.01,0,1,0.5382059800664452,0.5177449658240834,0.5382059800664452
10,32,16,0.01,0,1,0.4683972911963883,0.42890105062631123,0.4683972911963883
11,32,16,0.01,0,1,0.4781609195402299,0.45893447159193645,0.4781609195402299
12,32,16,0.01,0,1,0.5017543859649123,0.4874158429217986,0.5017543859649123
13,32,16,0.01,0,1,0.5413333333333333,0.5216872205207306,0.5413333333333333
14,32,16,0.01,0,1,0.5434131736526946,0.5167170728814564,0.5434131736526946
15,32,16,0.01,0,1,0.5422297297297297,0.5416529770900769,0.5422297297297297
16,32,16,0.01,0,1,0.5238095238095238,0.4468427599326845,0.5238095238095238
17,32,16,0.01,0,1,0.5526315789473685,0.3996605300953127,0.5526315789473685
18,32,16,0.01,0,1,0.4632768361581921,0.4401158725402058,0.4632768361581921
19,32,16,0.01,0,1,0.50814332247557,0.4683403484224651,0.50814332247557
20,32,16,0.01,0,1,0.5930232558139535,0.5870615673063732,0.5930232558139535
0,32,16,0.01,0,2,0.5319829424307037,0.4429499241767325,0.5319829424307037
1,32,16,0.01,0,2,0.5213219616204691,0.4937244780816533,0.5213219616204691
2,32,16,0.01,0,2,0.5181236673773987,0.5083880243964658,0.5181236673773987
3,32,16,0.01,0,2,0.5191897654584222,0.5187910569151931,0.5191897654584222
4,32,16,0.01,0,2,0.4690831556503198,0.44162662267804637,0.4690831556503198
5,32,16,0.01,0,2,0.5261472785485592,0.5225795494188715,0.5261472785485592
6,32,16,0.01,0,2,0.526824034334764,0.42824074396088224,0.526824034334764
7,32,16,0.01,0,2,0.5388768898488121,0.537123036382601,0.5388768898488121
8,32,16,0.01,0,2,0.4467391304347826,0.36895526169328813,0.4467391304347826
9,32,16,0.01,0,2,0.5581395348837209,0.4841440628825462,0.5581395348837209
10,32,16,0.01,0,2,0.5169300225733634,0.4779855512972997,0.5169300225733634
11,32,16,0.01,0,2,0.5448275862068965,0.5177923590271869,0.5448275862068965
12,32,16,0.01,0,2,0.49005847953216375,0.4789208834218619,0.49005847953216375
13,32,16,0.01,0,2,0.5133333333333333,0.5039781406110989,0.5133333333333333
14,32,16,0.01,0,2,0.49850299401197606,0.48628949875463423,0.49850299401197606
15,32,16,0.01,0,2,0.518581081081081,0.49686134760761624,0.518581081081081
16,32,16,0.01,0,2,0.5198412698412699,0.5198110236220472,0.5198412698412699
17,32,16,0.01,0,2,0.5215311004784688,0.5187104202648244,0.5215311004784688
18,32,16,0.01,0,2,0.4661016949152542,0.42276135177340457,0.4661016949152542
19,32,16,0.01,0,2,0.46254071661237783,0.39874657265961616,0.46254071661237783
20,32,16,0.01,0,2,0.4689922480620155,0.4552348072684679,0.4689922480620155
0,32,16,0.01,0,3,0.5341151385927505,0.4888971737013452,0.5341151385927505
1,32,16,0.01,0,3,0.5373134328358209,0.5234476332289135,0.5373134328358209
2,32,16,0.01,0,3,0.5341151385927505,0.39563548757598677,0.5341151385927505
3,32,16,0.01,0,3,0.5042643923240938,0.4490263821079159,0.5042643923240938
4,32,16,0.01,0,3,0.47547974413646055,0.46920316525579686,0.47547974413646055
5,32,16,0.01,0,3,0.5154749199573105,0.5007347003924661,0.5154749199573105
6,32,16,0.01,0,3,0.5021459227467812,0.4896212475274635,0.5021459227467812
7,32,16,0.01,0,3,0.5561555075593952,0.5215613312800528,0.5561555075593952
8,32,16,0.01,0,3,0.533695652173913,0.4553125245825622,0.533695652173913
9,32,16,0.01,0,3,0.5470653377630121,0.5429194827310947,0.5470653377630121
10,32,16,0.01,0,3,0.5293453724604966,0.45617048711234365,0.5293453724604966
11,32,16,0.01,0,3,0.5344827586206896,0.4089069097582784,0.5344827586206896
12,32,16,0.01,0,3,0.5239766081871345,0.5207643312101911,0.5239766081871345
13,32,16,0.01,0,3,0.5146666666666667,0.5023478971008575,0.5146666666666667
14,32,16,0.01,0,3,0.4535928143712575,0.33813449589150424,0.4535928143712575
15,32,16,0.01,0,3,0.5422297297297297,0.44383855121800714,0.5422297297297297
16,32,16,0.01,0,3,0.4503968253968254,0.40372861810493943,0.4503968253968254
17,32,16,0.01,0,3,0.48086124401913877,0.4763023735154702,0.48086124401913877
18,32,16,0.01,0,3,0.4830508474576271,0.4830467222599051,0.4830508474576271
19,32,16,0.01,0,3,0.5570032573289903,0.48757977417771237,0.5570032573289903
20,32,16,0.01,0,3,0.4806201550387597,0.4678283356936149,0.4806201550387597
0,32,16,0.01,0,4,0.5362473347547975,0.4720894276860974,0.5362473347547975
1,32,16,0.01,0,4,0.502132196162047,0.483316289279467,0.502132196162047
2,32,16,0.01,0,4,0.5255863539445629,0.4635405220265704,0.5255863539445629
3,32,16,0.01,0,4,0.5223880597014925,0.5118215613382899,0.5223880597014925
4,32,16,0.01,0,4,0.5202558635394456,0.515389066460928,0.5202558635394456
5,32,16,0.01,0,4,0.5293489861259338,0.4307278586080959,0.5293489861259338
6,32,16,0.01,0,4,0.5343347639484979,0.5259432193219322,0.5343347639484979
