Epochs,Train Batch Size,Test Batch Size,Learning Rate,Momentum,Hidden Layer,Token Position,Accuracy,Macro F1,Micro F1
32,16,16,0.01,0,0,0,0.5181236673773987,0.493203280021038,0.5181236673773987
32,16,16,0.01,0,0,1,0.4925373134328358,0.4867033629018537,0.4925373134328358
32,16,16,0.01,0,0,2,0.511727078891258,0.5075878447769953,0.511727078891258
32,16,16,0.01,0,0,3,0.5330490405117271,0.5236149439948052,0.5330490405117271
32,16,16,0.01,0,0,4,0.4978678038379531,0.48557495816929996,0.4978678038379531
32,16,16,0.01,0,0,5,0.5080042689434365,0.5079953027098262,0.5080042689434365
32,16,16,0.01,0,0,6,0.48819742489270385,0.48755496896378825,0.48819742489270385
32,16,16,0.01,0,0,7,0.5529157667386609,0.5251282051282051,0.5529157667386609
32,16,16,0.01,0,0,8,0.5554347826086956,0.5255214434599055,0.5554347826086956
32,16,16,0.01,0,0,9,0.5337763012181617,0.5054809542206664,0.5337763012181617
32,16,16,0.01,0,0,10,0.5146726862302483,0.4762412771035309,0.5146726862302483
32,16,16,0.01,0,0,11,0.5528735632183908,0.5361907698632953,0.5528735632183908
32,16,16,0.01,0,0,12,0.512280701754386,0.502480376766091,0.512280701754386
32,16,16,0.01,0,0,13,0.48533333333333334,0.45003799392097266,0.48533333333333334
32,16,16,0.01,0,0,14,0.4940119760479042,0.494007440276097,0.4940119760479042
32,16,16,0.01,0,0,15,0.5287162162162162,0.48581515022274246,0.5287162162162162
32,16,16,0.01,0,0,16,0.503968253968254,0.47722180731889474,0.503968253968254
32,16,16,0.01,0,0,17,0.4688995215311005,0.446549132810077,0.4688995215311005
32,16,16,0.01,0,0,18,0.5028248587570622,0.5025708172324593,0.5028248587570622
32,16,16,0.01,0,0,19,0.5244299674267101,0.5212552337007604,0.5244299674267101
32,16,16,0.01,0,0,20,0.5387596899224806,0.47645925344883444,0.5387596899224806
32,16,16,0.01,0,1,0,0.5415778251599147,0.4252450980392157,0.5415778251599147
32,16,16,0.01,0,1,1,0.502132196162047,0.48106377861994043,0.502132196162047
32,16,16,0.01,0,1,2,0.5181236673773987,0.5064927808843591,0.5181236673773987
32,16,16,0.01,0,1,3,0.5213219616204691,0.44940601864501395,0.5213219616204691
32,16,16,0.01,0,1,4,0.5255863539445629,0.3893899165441526,0.5255863539445629
32,16,16,0.01,0,1,5,0.5005336179295624,0.49904954259237255,0.5005336179295624
32,16,16,0.01,0,1,6,0.47854077253218885,0.4146091811414392,0.47854077253218885
32,16,16,0.01,0,1,7,0.5345572354211663,0.5211404149734058,0.5345572354211663
32,16,16,0.01,0,1,8,0.5,0.4977188459876851,0.5
32,16,16,0.01,0,1,9,0.47729789590254706,0.4583248607100736,0.47729789590254706
32,16,16,0.01,0,1,10,0.5338600451467269,0.46443317452999333,0.5338600451467269
32,16,16,0.01,0,1,11,0.5011494252873563,0.5011256976154237,0.5011494252873563
32,16,16,0.01,0,1,12,0.5181286549707602,0.4244117647058823,0.5181286549707602
32,16,16,0.01,0,1,13,0.464,0.4125280583613917,0.464
32,16,16,0.01,0,1,14,0.5359281437125748,0.45307217714672077,0.5359281437125748
32,16,16,0.01,0,1,15,0.4560810810810811,0.41660239695422774,0.4560810810810811
32,16,16,0.01,0,1,16,0.5376984126984127,0.5336428296274528,0.5376984126984127
32,16,16,0.01,0,1,17,0.5789473684210527,0.524016563146998,0.5789473684210527
32,16,16,0.01,0,1,18,0.5254237288135594,0.4860342920353982,0.5254237288135594
32,16,16,0.01,0,1,19,0.41368078175895767,0.3425185608223872,0.41368078175895767
32,16,16,0.01,0,1,20,0.5426356589147286,0.4760068846815835,0.5426356589147286
32,16,16,0.01,0,2,0,0.5341151385927505,0.3972280838486254,0.5341151385927505
32,16,16,0.01,0,2,1,0.47654584221748403,0.4208005151145111,0.47654584221748403
32,16,16,0.01,0,2,2,0.5138592750533049,0.49213495953493674,0.5138592750533049
32,16,16,0.01,0,2,3,0.5298507462686567,0.4592161563974413,0.5298507462686567
32,16,16,0.01,0,2,4,0.5202558635394456,0.51691540010987,0.5202558635394456
32,16,16,0.01,0,2,5,0.5261472785485592,0.5260560492139439,0.5261472785485592
32,16,16,0.01,0,2,6,0.4742489270386266,0.4178890639419572,0.4742489270386266
32,16,16,0.01,0,2,7,0.5496760259179265,0.49647334963325185,0.5496760259179265
