Epochs,Train Batch Size,Test Batch Size,Learning Rate,Momentum,Hidden Layer,Token Position,Accuracy,Macro F1,Micro F1
128,8,8,1e-05,0,0,0,0.4926315789473684,0.4200890572996084,0.4926315789473684
128,8,8,1e-05,0,0,1,0.47843137254901963,0.3836437982735121,0.47843137254901963
128,8,8,1e-05,0,0,2,0.4657039711191336,0.40419718637367746,0.4657039711191336
128,8,8,1e-05,0,0,3,0.49836065573770494,0.4977073107724102,0.49836065573770494
128,8,8,1e-05,0,0,4,0.5037707390648567,0.5021352353780314,0.5037707390648567
128,8,8,1e-05,0,0,5,0.5238095238095238,0.5200559701492538,0.5238095238095238
128,8,8,1e-05,0,0,6,0.5465994962216625,0.525875796178344,0.5465994962216625
128,8,8,1e-05,0,0,7,0.5183908045977011,0.39011107597636935,0.5183908045977011
128,8,8,1e-05,0,0,8,0.4925373134328358,0.49245424576560193,0.4925373134328358
128,8,8,1e-05,0,0,9,0.4488272921108742,0.4412826353197083,0.4488272921108742
128,8,8,1e-05,0,0,10,0.4701492537313433,0.4435719409562208,0.4701492537313433
128,8,8,1e-05,0,0,11,0.488272921108742,0.48804017083520956,0.488272921108742
128,8,8,1e-05,0,0,12,0.5127931769722814,0.5121894043277136,0.5127931769722814
128,8,8,1e-05,0,0,13,0.46770601336302897,0.4657742243816958,0.46770601336302897
128,8,8,1e-05,0,0,14,0.4745958429561201,0.4511467234979071,0.4745958429561201
128,8,8,1e-05,0,0,15,0.5407047387606319,0.4546037868162693,0.5407047387606319
128,8,8,1e-05,0,0,16,0.4522875816993464,0.4459214417952605,0.4522875816993464
128,8,8,1e-05,0,0,17,0.523943661971831,0.5227166052776032,0.523943661971831
128,8,8,1e-05,0,0,18,0.46827794561933533,0.4352904682971278,0.46827794561933533
128,8,8,1e-05,0,0,19,0.5306451612903226,0.46373636825695,0.5306451612903226
128,8,8,1e-05,0,0,20,0.5379310344827586,0.3922047047047047,0.5379310344827586
128,8,8,1e-05,0,1,0,0.4863157894736842,0.4649122807017544,0.4863157894736842
128,8,8,1e-05,0,1,1,0.5019607843137255,0.501339615668884,0.5019607843137255
128,8,8,1e-05,0,1,2,0.5342960288808665,0.45261948529411766,0.5342960288808665
128,8,8,1e-05,0,1,3,0.5278688524590164,0.38246087653435695,0.5278688524590164
128,8,8,1e-05,0,1,4,0.5384615384615384,0.478387634209552,0.5384615384615384
128,8,8,1e-05,0,1,5,0.48435374149659866,0.47253964497041423,0.48435374149659866
128,8,8,1e-05,0,1,6,0.5163727959697733,0.3912258703447835,0.5163727959697733
128,8,8,1e-05,0,1,7,0.49885057471264366,0.49884792626728114,0.49885057471264366
128,8,8,1e-05,0,1,8,0.5266524520255863,0.4859309657000943,0.5266524520255863
128,8,8,1e-05,0,1,9,0.5031982942430704,0.40317427374561027,0.5031982942430704
128,8,8,1e-05,0,1,10,0.4936034115138593,0.482892090355482,0.4936034115138593
128,8,8,1e-05,0,1,11,0.5,0.4840344866816245,0.5
128,8,8,1e-05,0,1,12,0.4840085287846482,0.4742176823477636,0.4840085287846482
128,8,8,1e-05,0,1,13,0.5155902004454342,0.5069315853847872,0.5155902004454342
128,8,8,1e-05,0,1,14,0.47575057736720555,0.4520790014995345,0.47575057736720555
128,8,8,1e-05,0,1,15,0.48602673147023084,0.4564433653673503,0.48602673147023084
128,8,8,1e-05,0,1,16,0.47581699346405226,0.47437995288070256,0.47581699346405226
128,8,8,1e-05,0,1,17,0.4830985915492958,0.4821113052257925,0.4830985915492958
128,8,8,1e-05,0,1,18,0.525679758308157,0.5163385918376844,0.525679758308157
128,8,8,1e-05,0,1,19,0.5596774193548387,0.358841778697001,0.5596774193548387
128,8,8,1e-05,0,1,20,0.5241379310344828,0.45234348272322955,0.5241379310344828
128,8,8,1e-05,0,2,0,0.4863157894736842,0.486295298205801,0.4863157894736842
128,8,8,1e-05,0,2,1,0.5274509803921569,0.3562595911612048,0.5274509803921569
128,8,8,1e-05,0,2,2,0.4675090252707581,0.46583647922080046,0.4675090252707581
128,8,8,1e-05,0,2,3,0.4786885245901639,0.4301677946982515,0.4786885245901639
128,8,8,1e-05,0,2,4,0.4751131221719457,0.466341616860648,0.4751131221719457
128,8,8,1e-05,0,2,5,0.527891156462585,0.498477015619193,0.527891156462585
128,8,8,1e-05,0,2,6,0.5088161209068011,0.508204532027215,0.5088161209068011
128,8,8,1e-05,0,2,7,0.47011494252873565,0.45083804466741795,0.47011494252873565
128,8,8,1e-05,0,2,8,0.5490405117270789,0.458812938600978,0.5490405117270789
128,8,8,1e-05,0,2,9,0.464818763326226,0.3190395205701328,0.464818763326226
128,8,8,1e-05,0,2,10,0.4573560767590618,0.3487843634702075,0.4573560767590618
128,8,8,1e-05,0,2,11,0.4680170575692964,0.3289578001906769,0.4680170575692964
128,8,8,1e-05,0,2,12,0.5031982942430704,0.48376322751322753,0.5031982942430704
128,8,8,1e-05,0,2,13,0.48997772828507796,0.452823662139725,0.48997772828507796
128,8,8,1e-05,0,2,14,0.4630484988452656,0.36987827567375564,0.4630484988452656
128,8,8,1e-05,0,2,15,0.456865127582017,0.3352649410489226,0.456865127582017
128,8,8,1e-05,0,2,16,0.46797385620915033,0.34633915918752955,0.46797385620915033
128,8,8,1e-05,0,2,17,0.45211267605633804,0.31783883914788513,0.45211267605633804
128,8,8,1e-05,0,2,18,0.4607250755287009,0.3380352306179783,0.4607250755287009
128,8,8,1e-05,0,2,19,0.4935483870967742,0.46206134291240675,0.4935483870967742
128,8,8,1e-05,0,2,20,0.5655172413793104,0.3684319690265487,0.5655172413793104
128,8,8,1e-05,0,3,0,0.4652631578947368,0.43779123951537746,0.4652631578947368
128,8,8,1e-05,0,3,1,0.5196078431372549,0.3627958447863492,0.5196078431372549
128,8,8,1e-05,0,3,2,0.43862815884476536,0.3868431822630296,0.43862815884476536
128,8,8,1e-05,0,3,3,0.4721311475409836,0.4713127550306306,0.4721311475409836
128,8,8,1e-05,0,3,4,0.48717948717948717,0.42815829528158295,0.48717948717948717
128,8,8,1e-05,0,3,5,0.5401360544217687,0.3507067137809187,0.5401360544217687
128,8,8,1e-05,0,3,6,0.5377833753148614,0.38162912347342626,0.5377833753148614
128,8,8,1e-05,0,3,7,0.5298850574712644,0.5172037627252486,0.5298850574712644
128,8,8,1e-05,0,3,8,0.47867803837953093,0.45089264871193535,0.47867803837953093
128,8,8,1e-05,0,3,9,0.5245202558635395,0.46705903335116816,0.5245202558635395
128,8,8,1e-05,0,3,10,0.511727078891258,0.4348267660183548,0.511727078891258
128,8,8,1e-05,0,3,11,0.4605543710021322,0.33160399943669905,0.4605543710021322
128,8,8,1e-05,0,3,12,0.5181236673773987,0.3723894958107588,0.5181236673773987
128,8,8,1e-05,0,3,13,0.5412026726057907,0.4063476781874779,0.5412026726057907
128,8,8,1e-05,0,3,14,0.5173210161662818,0.5165758547008548,0.5173210161662818
128,8,8,1e-05,0,3,15,0.5455650060753341,0.3693925884647534,0.5455650060753341
128,8,8,1e-05,0,3,16,0.5411764705882353,0.36853430536774645,0.5411764705882353
