Epochs,Train Batch Size,Test Batch Size,Learning Rate,Momentum,Hidden Layer,Token Position,Accuracy,Macro F1,Micro F1
16,16,16,0.01,0,0,0,0.5138592750533049,0.4058045909947155,0.5138592750533049
16,16,16,0.01,0,0,1,0.5501066098081023,0.5025586118148551,0.5501066098081023
16,16,16,0.01,0,0,2,0.5330490405117271,0.4585180694308985,0.5330490405117271
16,16,16,0.01,0,0,3,0.4989339019189765,0.4483650905669254,0.4989339019189765
16,16,16,0.01,0,0,4,0.5362473347547975,0.3902382528621577,0.5362473347547975
16,16,16,0.01,0,0,5,0.5218783351120597,0.4731356621449298,0.5218783351120597
16,16,16,0.01,0,0,6,0.5053648068669528,0.5027952808299629,0.5053648068669528
16,16,16,0.01,0,0,7,0.541036717062635,0.3949582674175302,0.541036717062635
16,16,16,0.01,0,0,8,0.4565217391304347,0.446466046708639,0.4565217391304347
16,16,16,0.01,0,0,9,0.5105204872646734,0.5081262939958592,0.5105204872646734
16,16,16,0.01,0,0,10,0.4898419864559819,0.4827146141724147,0.4898419864559819
16,16,16,0.01,0,0,11,0.5183908045977011,0.4955823848894731,0.5183908045977011
16,16,16,0.01,0,0,12,0.4818713450292398,0.473470204806766,0.4818713450292398
16,16,16,0.01,0,0,13,0.504,0.4153835838034012,0.504
16,16,16,0.01,0,0,14,0.5044910179640718,0.5027962482825616,0.5044910179640718
16,16,16,0.01,0,0,15,0.5253378378378378,0.4291577303845032,0.5253378378378378
16,16,16,0.01,0,0,16,0.494047619047619,0.493886230728336,0.494047619047619
16,16,16,0.01,0,0,17,0.4641148325358851,0.4404283801874163,0.4641148325358851
16,16,16,0.01,0,0,18,0.5056497175141242,0.5045070264822799,0.5056497175141242
16,16,16,0.01,0,0,19,0.5276872964169381,0.5048001512909792,0.5276872964169381
16,16,16,0.01,0,0,20,0.5310077519379846,0.5032382286014353,0.5310077519379846
16,16,16,0.01,0,1,0,0.5298507462686567,0.4381196490641847,0.5298507462686567
16,16,16,0.01,0,1,1,0.5010660980810234,0.483285622810652,0.5010660980810234
16,16,16,0.01,0,1,2,0.5255863539445629,0.4719290322009304,0.5255863539445629
16,16,16,0.01,0,1,3,0.5245202558635395,0.3980119261408113,0.5245202558635395
16,16,16,0.01,0,1,4,0.5458422174840085,0.4206753770942431,0.5458422174840085
16,16,16,0.01,0,1,5,0.5400213447171825,0.3782042695366329,0.5400213447171825
16,16,16,0.01,0,1,6,0.5010729613733905,0.4996900336287538,0.5010729613733905
16,16,16,0.01,0,1,7,0.5377969762419006,0.4356231487810435,0.5377969762419006
16,16,16,0.01,0,1,8,0.5369565217391304,0.378993002738059,0.5369565217391304
