Index,Epochs,Batch Size,Learning Rate,Momentum,Hidden Layer Index,Accuracy,Macro F1,Micro F1
0,32,16,0.01,0,0,0.5159914712153518,0.4097194499889111,0.5159914712153518
1,32,16,0.01,0,0,0.5394456289978679,0.47438983895068904,0.5394456289978679
2,32,16,0.01,0,0,0.5085287846481876,0.4719107024003615,0.5085287846481876
3,32,16,0.01,0,0,0.5063965884861408,0.5023097136321808,0.5063965884861408
4,32,16,0.01,0,0,0.5074626865671642,0.5040331441127999,0.5074626865671642
5,32,16,0.01,0,0,0.5464247598719317,0.3956627639636085,0.5464247598719317
6,32,16,0.01,0,0,0.526824034334764,0.4935175840385063,0.526824034334764
7,32,16,0.01,0,0,0.521598272138229,0.5021547670048192,0.521598272138229
8,32,16,0.01,0,0,0.5282608695652173,0.42361881005173685,0.5282608695652173
9,32,16,0.01,0,0,0.5603543743078627,0.5192641136737592,0.5603543743078627
10,32,16,0.01,0,0,0.5022573363431151,0.4852603497678095,0.5022573363431151
11,32,16,0.01,0,0,0.5091954022988506,0.4931059184717721,0.5091954022988506
12,32,16,0.01,0,0,0.5309941520467836,0.36204121505326325,0.5309941520467836
13,32,16,0.01,0,0,0.5026666666666667,0.4860135042028386,0.5026666666666667
14,32,16,0.01,0,0,0.46107784431137727,0.45241911979014865,0.46107784431137727
15,32,16,0.01,0,0,0.49324324324324326,0.49266419854655147,0.49324324324324326
16,32,16,0.01,0,0,0.5416666666666666,0.5174074703519629,0.5416666666666666
17,32,16,0.01,0,0,0.5,0.49992844835975014,0.5
18,32,16,0.01,0,0,0.5310734463276836,0.518138283914983,0.5310734463276836
19,32,16,0.01,0,0,0.5504885993485342,0.4611568986568987,0.5504885993485342
20,32,16,0.01,0,0,0.5503875968992248,0.4548633879781421,0.5503875968992248
0,32,16,0.01,0,1,0.511727078891258,0.4552596875634003,0.511727078891258
1,32,16,0.01,0,1,0.5330490405117271,0.49546854507139804,0.5330490405117271
2,32,16,0.01,0,1,0.5447761194029851,0.41857956813645436,0.5447761194029851
3,32,16,0.01,0,1,0.5149253731343284,0.5121301595902163,0.5149253731343284
4,32,16,0.01,0,1,0.5245202558635395,0.4994304476011793,0.5245202558635395
5,32,16,0.01,0,1,0.4887940234791889,0.4879518553378398,0.4887940234791889
6,32,16,0.01,0,1,0.5418454935622318,0.4827599204054074,0.5418454935622318
7,32,16,0.01,0,1,0.468682505399568,0.4684816695288584,0.468682505399568
8,32,16,0.01,0,1,0.5478260869565217,0.45481481481481484,0.5478260869565217
9,32,16,0.01,0,1,0.5636766334440753,0.5636632555949099,0.5636766334440753
10,32,16,0.01,0,1,0.5383747178329571,0.38997048955687197,0.5383747178329571
11,32,16,0.01,0,1,0.5459770114942529,0.48516776804160006,0.5459770114942529
12,32,16,0.01,0,1,0.52046783625731,0.4623993963782696,0.52046783625731
13,32,16,0.01,0,1,0.508,0.493476044665621,0.508
14,32,16,0.01,0,1,0.5359281437125748,0.5281066841678288,0.5359281437125748
15,32,16,0.01,0,1,0.5304054054054054,0.46571090939784693,0.5304054054054054
16,32,16,0.01,0,1,0.5535714285714286,0.40942113897351773,0.5535714285714286
17,32,16,0.01,0,1,0.5239234449760766,0.48193543967165536,0.5239234449760766
18,32,16,0.01,0,1,0.4548022598870056,0.4402909877362432,0.4548022598870056
19,32,16,0.01,0,1,0.5439739413680782,0.4725085910652921,0.5439739413680782
20,32,16,0.01,0,1,0.562015503875969,0.3598014888337469,0.562015503875969
0,32,16,0.01,0,2,0.502132196162047,0.49398798405420924,0.502132196162047
1,32,16,0.01,0,2,0.5394456289978679,0.481322192184812,0.5394456289978679
2,32,16,0.01,0,2,0.5277185501066098,0.4071549331944672,0.5277185501066098
3,32,16,0.01,0,2,0.502132196162047,0.4824323126820306,0.502132196162047
4,32,16,0.01,0,2,0.5298507462686567,0.3868417736998525,0.5298507462686567
5,32,16,0.01,0,2,0.5208110992529349,0.4410266085433792,0.5208110992529349
6,32,16,0.01,0,2,0.5257510729613734,0.3944386624095209,0.5257510729613734
7,32,16,0.01,0,2,0.5399568034557235,0.3766182048040455,0.5399568034557235
8,32,16,0.01,0,2,0.533695652173913,0.4131248410806663,0.533695652173913
9,32,16,0.01,0,2,0.5227021040974529,0.406183009388031,0.5227021040974529
10,32,16,0.01,0,2,0.4853273137697517,0.4852853495589427,0.4853273137697517
11,32,16,0.01,0,2,0.5448275862068965,0.5258620689655172,0.5448275862068965
12,32,16,0.01,0,2,0.5076023391812865,0.41639739226727157,0.5076023391812865
13,32,16,0.01,0,2,0.49733333333333335,0.4967741935483871,0.49733333333333335
14,32,16,0.01,0,2,0.5583832335329342,0.4744155653646632,0.5583832335329342
15,32,16,0.01,0,2,0.535472972972973,0.5274790659874904,0.535472972972973
16,32,16,0.01,0,2,0.49007936507936506,0.479152508977148,0.49007936507936506
17,32,16,0.01,0,2,0.5334928229665071,0.3967718301103439,0.5334928229665071
18,32,16,0.01,0,2,0.5480225988700564,0.5346544414867396,0.5480225988700564
19,32,16,0.01,0,2,0.504885993485342,0.49836601307189543,0.504885993485342
20,32,16,0.01,0,2,0.5038759689922481,0.502410800385728,0.5038759689922481
0,32,16,0.01,0,3,0.5362473347547975,0.3511416999155592,0.5362473347547975
1,32,16,0.01,0,3,0.47547974413646055,0.4393877551020408,0.47547974413646055
2,32,16,0.01,0,3,0.5554371002132196,0.4840055247525536,0.5554371002132196
3,32,16,0.01,0,3,0.5319829424307037,0.35133951567297134,0.5319829424307037
4,32,16,0.01,0,3,0.5106609808102346,0.45854875038199716,0.5106609808102346
5,32,16,0.01,0,3,0.503735325506937,0.46889143787734544,0.503735325506937
6,32,16,0.01,0,3,0.5493562231759657,0.5271435819381025,0.5493562231759657
7,32,16,0.01,0,3,0.5043196544276458,0.5043144517514959,0.5043196544276458
8,32,16,0.01,0,3,0.5521739130434783,0.47120535714285716,0.5521739130434783
9,32,16,0.01,0,3,0.5448504983388704,0.48753046444031733,0.5448504983388704
10,32,16,0.01,0,3,0.5248306997742663,0.39931816461638303,0.5248306997742663
11,32,16,0.01,0,3,0.5264367816091954,0.42187096774193544,0.5264367816091954
12,32,16,0.01,0,3,0.5321637426900585,0.4520073834794647,0.5321637426900585
13,32,16,0.01,0,3,0.5,0.49252912657270864,0.5
14,32,16,0.01,0,3,0.47005988023952094,0.41436595441172097,0.47005988023952094
15,32,16,0.01,0,3,0.543918918918919,0.3522975929978118,0.543918918918919
16,32,16,0.01,0,3,0.5456349206349206,0.469437102075528,0.5456349206349206
17,32,16,0.01,0,3,0.47368421052631576,0.45469639468690703,0.47368421052631576
18,32,16,0.01,0,3,0.5536723163841808,0.41574395186562485,0.5536723163841808
19,32,16,0.01,0,3,0.5504885993485342,0.4678173047934881,0.5504885993485342
20,32,16,0.01,0,3,0.5232558139534884,0.48652978010776177,0.5232558139534884
0,32,16,0.01,0,4,0.5362473347547975,0.410663604653682,0.5362473347547975
1,32,16,0.01,0,4,0.4936034115138593,0.47072945609448114,0.4936034115138593
2,32,16,0.01,0,4,0.5469083155650319,0.486806822321747,0.5469083155650319
3,32,16,0.01,0,4,0.5181236673773987,0.43488251822073887,0.5181236673773987
4,32,16,0.01,0,4,0.5170575692963753,0.5163842348048472,0.5170575692963753
5,32,16,0.01,0,4,0.5368196371398078,0.47077854473144476,0.5368196371398078
6,32,16,0.01,0,4,0.5203862660944206,0.3988944727968453,0.5203862660944206
7,32,16,0.01,0,4,0.5226781857451404,0.3975613489708445,0.5226781857451404
8,32,16,0.01,0,4,0.5315217391304348,0.442863746661215,0.5315217391304348
9,32,16,0.01,0,4,0.5382059800664452,0.5274879441043125,0.5382059800664452
10,32,16,0.01,0,4,0.5406320541760722,0.5118893405398967,0.5406320541760722
11,32,16,0.01,0,4,0.5436781609195402,0.5320749297888857,0.5436781609195402
12,32,16,0.01,0,4,0.5228070175438596,0.42740272871718776,0.5228070175438596
13,32,16,0.01,0,4,0.532,0.5050528789659224,0.532
14,32,16,0.01,0,4,0.5119760479041916,0.45731658692185007,0.5119760479041916
15,32,16,0.01,0,4,0.47297297297297297,0.4471264367816092,0.47297297297297297
16,32,16,0.01,0,4,0.5337301587301587,0.5200797435887046,0.5337301587301587
17,32,16,0.01,0,4,0.47607655502392343,0.4523526068618946,0.47607655502392343
18,32,16,0.01,0,4,0.4378531073446328,0.3789747432450302,0.4378531073446328
19,32,16,0.01,0,4,0.5374592833876222,0.5263581051716645,0.5374592833876222
20,32,16,0.01,0,4,0.46511627906976744,0.4625,0.46511627906976744
0,32,16,0.01,0,5,0.5309168443496801,0.5161252503083424,0.5309168443496801
1,32,16,0.01,0,5,0.5362473347547975,0.43126555018921575,0.5362473347547975
2,32,16,0.01,0,5,0.5511727078891258,0.46579024619226506,0.5511727078891258
3,32,16,0.01,0,5,0.535181236673774,0.5048933439868284,0.535181236673774
4,32,16,0.01,0,5,0.523454157782516,0.412925041480268,0.523454157782516
5,32,16,0.01,0,5,0.5314834578441836,0.46044107249901295,0.5314834578441836
6,32,16,0.01,0,5,0.5225321888412017,0.5054936538312498,0.5225321888412017
7,32,16,0.01,0,5,0.5712742980561555,0.4794032471624502,0.5712742980561555
8,32,16,0.01,0,5,0.5358695652173913,0.4502897299445448,0.5358695652173913
9,32,16,0.01,0,5,0.5503875968992248,0.47560675584442336,0.5503875968992248
10,32,16,0.01,0,5,0.5304740406320542,0.5073382772024189,0.5304740406320542
11,32,16,0.01,0,5,0.5413793103448276,0.43944294713520515,0.5413793103448276
12,32,16,0.01,0,5,0.4865497076023392,0.4674303081382727,0.4865497076023392
13,32,16,0.01,0,5,0.528,0.5279160739687055,0.528
14,32,16,0.01,0,5,0.49550898203592814,0.49480137971584315,0.49550898203592814
15,32,16,0.01,0,5,0.5016891891891891,0.500490528369129,0.5016891891891891
16,32,16,0.01,0,5,0.4801587301587302,0.4366937410415671,0.4801587301587302
17,32,16,0.01,0,5,0.4880382775119617,0.39754849137931036,0.4880382775119617
18,32,16,0.01,0,5,0.53954802259887,0.36132909781177014,0.53954802259887
19,32,16,0.01,0,5,0.498371335504886,0.4960131332082552,0.498371335504886
20,32,16,0.01,0,5,0.4806201550387597,0.45494103550482434,0.4806201550387597
0,32,16,0.01,0,6,0.5415778251599147,0.43199549359245176,0.5415778251599147
1,32,16,0.01,0,6,0.5202558635394456,0.45342242250019427,0.5202558635394456
2,32,16,0.01,0,6,0.5394456289978679,0.42257181942544464,0.5394456289978679
3,32,16,0.01,0,6,0.48081023454157784,0.4726047878266592,0.48081023454157784
4,32,16,0.01,0,6,0.5159914712153518,0.4616555420711974,0.5159914712153518
5,32,16,0.01,0,6,0.5314834578441836,0.37926699895725347,0.5314834578441836
6,32,16,0.01,0,6,0.528969957081545,0.49581455644649497,0.528969957081545
7,32,16,0.01,0,6,0.5226781857451404,0.4857959827732634,0.5226781857451404
8,32,16,0.01,0,6,0.5195652173913043,0.46408991228070173,0.5195652173913043
9,32,16,0.01,0,6,0.5370985603543743,0.5343799034846197,0.5370985603543743
10,32,16,0.01,0,6,0.5304740406320542,0.4750018517146878,0.5304740406320542
11,32,16,0.01,0,6,0.535632183908046,0.512886040723104,0.535632183908046
12,32,16,0.01,0,6,0.512280701754386,0.4625843162377058,0.512280701754386
13,32,16,0.01,0,6,0.5173333333333333,0.41154286308780685,0.5173333333333333
14,32,16,0.01,0,6,0.5029940119760479,0.5018508535489667,0.5029940119760479
15,32,16,0.01,0,6,0.5101351351351351,0.4426480709545885,0.5101351351351351
16,32,16,0.01,0,6,0.46825396825396826,0.45653818298865373,0.46825396825396826
17,32,16,0.01,0,6,0.5095693779904307,0.5038187829692123,0.5095693779904307
18,32,16,0.01,0,6,0.5112994350282486,0.5000938721868955,0.5112994350282486
19,32,16,0.01,0,6,0.4755700325732899,0.47548098861333077,0.4755700325732899
20,32,16,0.01,0,6,0.4573643410852713,0.43438772314437835,0.4573643410852713
0,32,16,0.01,0,7,0.5277185501066098,0.41949850451021836,0.5277185501066098
1,32,16,0.01,0,7,0.502132196162047,0.5020365475885981,0.502132196162047
2,32,16,0.01,0,7,0.535181236673774,0.38459223412003346,0.535181236673774
3,32,16,0.01,0,7,0.5362473347547975,0.45561377035794765,0.5362473347547975
4,32,16,0.01,0,7,0.535181236673774,0.4380331545158737,0.535181236673774
5,32,16,0.01,0,7,0.47065101387406616,0.47014346822812636,0.47065101387406616
6,32,16,0.01,0,7,0.5246781115879828,0.4492041744986319,0.5246781115879828
7,32,16,0.01,0,7,0.5442764578833693,0.4588035210760444,0.5442764578833693
8,32,16,0.01,0,7,0.5445652173913044,0.5079391216991597,0.5445652173913044
9,32,16,0.01,0,7,0.5426356589147286,0.42531493423941935,0.5426356589147286
10,32,16,0.01,0,7,0.5451467268623025,0.4926503081257966,0.5451467268623025
11,32,16,0.01,0,7,0.532183908045977,0.5041110508913229,0.532183908045977
12,32,16,0.01,0,7,0.5368421052631579,0.5338058887677208,0.5368421052631579
13,32,16,0.01,0,7,0.48933333333333334,0.46593015537760457,0.48933333333333334
14,32,16,0.01,0,7,0.48502994011976047,0.4591958729889764,0.48502994011976047
